voter,position,title,author
Jan Carson,10,The End of the Affair,Graham Greene
Elif Batuman,1,Anna Karenina,Leo Tolstoy
Elif Batuman,2,Middlemarch,George Eliot
Elif Batuman,3,The Portrait of a Lady,Henry James
Elif Batuman,4,Pale Fire,Vladimir Nabokov
Elif Batuman,5,Don Quixote,Miguel de Cervantes
Elif Batuman,6,The Makioka Sisters,Jun'ichirō Tanizaki
Elif Batuman,7,Eugene Onegin,Alexander Pushkin
Elif Batuman,8,The Trial,Franz Kafka
Elif Batuman,9,In Search of Lost Time,Marcel Proust
Elif Batuman,10,Jane Eyre,Charlotte Brontë
Roxane Gay,1,Nw,Zadie Smith
Roxane Gay,2,The Known World,Edward P Jones
Roxane Gay,3,Pachinko,Min Jin Lee
Roxane Gay,4,The Age of Innocence,Edith Wharton
Roxane Gay,5,Commonwealth,Ann Patchett
Roxane Gay,6,Beloved,Toni Morrison
Roxane Gay,7,Possessing the Secret of Joy,Alice Walker
Roxane Gay,8,A Fine Balance,Rohinton Mistry
Roxane Gay,9,In the Distance,Hernán Díaz
Roxane Gay,10,Matrix,Lauren Groff
Andrew Solomon,1,To the Lighthouse,Virginia Woolf
Andrew Solomon,2,War and Peace,Leo Tolstoy
Andrew Solomon,3,Middlemarch,George Eliot
Andrew Solomon,4,In Search of Lost Time,Marcel Proust
Andrew Solomon,5,The Portrait of a Lady,Henry James
Andrew Solomon,6,The Phantom Tollbooth,Norton Juster
Andrew Solomon,7,Howards End,EM Forster
Andrew Solomon,8,The House of Mirth,Edith Wharton
Andrew Solomon,9,Daniel Deronda,George Eliot
Andrew Solomon,10,Sense and Sensibility,Jane Austen
Mazen Maarouf,1,The Third Lie,Ágota Kristóf
Mazen Maarouf,2,Promise at Dawn,Romain Gary
Mazen Maarouf,3,In Diamond Square,Mercè Rodoreda
Mazen Maarouf,4,Don Quixote,Miguel de Cervantes
Mazen Maarouf,5,One Thousand and One Nights,Scheherazade
Mazen Maarouf,6,Things Fall Apart,Chinua Achebe
Mazen Maarouf,7,June Rain,Jabbour Douaihy
Mazen Maarouf,8,Chronicle of a Death Foretold,Gabriel García Márquez
Mazen Maarouf,9,The Catcher in the Rye,J. D. Salinger
Mazen Maarouf,10,Men in the Sun and Other Palestinian Stories,Ghassan Kanafani
Bernardine Evaristo,1,Beloved,Toni Morrison
Bernardine Evaristo,2,The Book of Night Women,Marlon James
Bernardine Evaristo,3,Ghost Wall,Sarah Moss
Bernardine Evaristo,4,The Joys of Motherhood,Buchi Emecheta
Bernardine Evaristo,5,The Bone People,Keri Hulme
Bernardine Evaristo,6,Quicksand,Nella Larsen
Bernardine Evaristo,7,The Vanishing Half,Brit Bennett
Bernardine Evaristo,8,Ordinary People,Diana Evans
Bernardine Evaristo,9,Their Eyes Were Watching God,Zora Neale Hurston
Bernardine Evaristo,10,Kindred,Octavia E Butler
John Mullan,1,Emma,Jane Austen
John Mullan,2,Great Expectations,Charles Dickens
John Mullan,3,Middlemarch,George Eliot
John Mullan,4,Anna Karenina,Leo Tolstoy
John Mullan,5,"The Life and Opinions of Tristram Shandy, Gentleman",Laurence Sterne
John Mullan,6,In Search of Lost Time,Marcel Proust
John Mullan,7,Madame Bovary,Gustave Flaubert
John Mullan,8,Ulysses,James Joyce
John Mullan,9,Tess of the D'urbervilles,Thomas Hardy
John Mullan,10,Pride and Prejudice,Jane Austen
Katharine Viner,1,Beloved,Toni Morrison
Katharine Viner,2,Jane Eyre,Charlotte Brontë
Katharine Viner,3,Sense and Sensibility,Jane Austen
Katharine Viner,4,Orlando,Virginia Woolf
Katharine Viner,5,Love in the Time of Cholera,Gabriel García Márquez
Katharine Viner,6,Anna Karenina,Leo Tolstoy
Katharine Viner,7,David Copperfield,Charles Dickens
Katharine Viner,8,Small Island,Andrea Levy
Katharine Viner,9,Half of a Yellow Sun,Chimamanda Ngozi Adichie
